filename,filepath,pragma,resolved_solc_version,analysis_status,access_control_category,access_control_detected,slither_detectors,SWC,CWE,severity,confidence,evidence,relevance_notes
0x004def62c71992615cf22786d0b7efb22850df4a.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004def62c71992615cf22786d0b7efb22850df4a.sol,pragma solidity 0.4.21;,0.4.21,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x004e702aa7e3850f7da045f65da3218059b09381.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004e702aa7e3850f7da045f65da3218059b09381.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x004fd00dc156ff5ce5da0a7082934d4122f8bd3f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004fd00dc156ff5ce5da0a7082934d4122f8bd3f.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0051d363a60bd98d8a10927d10708e5ef853b306.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0051d363a60bd98d8a10927d10708e5ef853b306.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x005275450e77bfa6bcbd04d85175d5d0f2dfae43.sol,C:\SmartContracts\smartbugs-wild\contracts\0x005275450e77bfa6bcbd04d85175d5d0f2dfae43.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00539863217abd04b374a422c855e4c71ed1019a.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00539863217abd04b374a422c855e4c71ed1019a.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0054265eea0ad4dd25895fff4899fc42c41dc6f6.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0054265eea0ad4dd25895fff4899fc42c41dc6f6.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0056a6ac46c0540b9b39bfeecae0c9482f80f809.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0056a6ac46c0540b9b39bfeecae0c9482f80f809.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00571808479ced690a6948992e32b1f3e69df557.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00571808479ced690a6948992e32b1f3e69df557.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0057826d01b84775dbc9b3a5ba1152b095988481.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0057826d01b84775dbc9b3a5ba1152b095988481.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x005aae78c0de67642c728504dc9d264ecb9bb312.sol,C:\SmartContracts\smartbugs-wild\contracts\0x005aae78c0de67642c728504dc9d264ecb9bb312.sol,pragma solidity ^0.4.2;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x005c03671f914748598b1302a60cc586e9825a33.sol,C:\SmartContracts\smartbugs-wild\contracts\0x005c03671f914748598b1302a60cc586e9825a33.sol,pragma solidity ^0.5.6;,0.5.8,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x005f977f633d1c23748294671b0e69f3512e6702.sol,C:\SmartContracts\smartbugs-wild\contracts\0x005f977f633d1c23748294671b0e69f3512e6702.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0061fe2189c995e585d3214e2302a2c600739972.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0061fe2189c995e585d3214e2302a2c600739972.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0064353c557afe927866f0f3b748bc271c385d71.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0064353c557afe927866f0f3b748bc271c385d71.sol,pragma solidity 0.4.19;,0.4.19,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00674045bb7c17f0aa1cde34780d6c51af548728.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00674045bb7c17f0aa1cde34780d6c51af548728.sol,pragma solidity 0.4.14;,0.4.14,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x00676065a7854163c6a4d5f474496514d03e31c4.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00676065a7854163c6a4d5f474496514d03e31c4.sol,pragma solidity ^0.4.25;,0.4.26,SUCCESS,POTENTIAL,YES,arbitrary-send-eth,UNKNOWN,UNKNOWN,High,Medium,"[arbitrary-send-eth] CrystalDeposit.withdrawReward(address) (../smartbugs-wild/contracts/0x00676065a7854163c6a4d5f474496514d03e31c4.sol#272-286) sends eth to arbitrary user
	Dangerous calls:
	- _addr.transfer(balance) (../smartbugs-wild/contracts/0x00676065a7854163c6a4d5f474496514d03e31c4.sol#282)",Candidate requiring BERT/LLM/manual contextual analysis; POTENTIAL is not a vulnerability determination.
0x00685230359bdb9e16704e1d3918b553e9a015e2.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00685230359bdb9e16704e1d3918b553e9a015e2.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x0069e491f2ed9e562a7c9c92ba40f73d946718e0.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0069e491f2ed9e562a7c9c92ba40f73d946718e0.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x006b4425ba57148466c0c54af1c484348a14a8a4.sol,C:\SmartContracts\smartbugs-wild\contracts\0x006b4425ba57148466c0c54af1c484348a14a8a4.sol,pragma solidity ^0.4.15;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x006be10c718c78f5c4d4e767377ea6d9dfa8dd06.sol,C:\SmartContracts\smartbugs-wild\contracts\0x006be10c718c78f5c4d4e767377ea6d9dfa8dd06.sol,pragma solidity 0.5.8;,0.5.8,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45.sol,C:\SmartContracts\smartbugs-wild\contracts\0x006bea43baa3f7a6f765f14f10a1a1b08334ef45.sol,pragma solidity ^0.4.11;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x006ff3494c04680cfbf39b0396054486f3f6ad32.sol,C:\SmartContracts\smartbugs-wild\contracts\0x006ff3494c04680cfbf39b0396054486f3f6ad32.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
0x007323cbe37f29229de49136b51d3559b2a0c44f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x007323cbe37f29229de49136b51d3559b2a0c44f.sol,pragma solidity ^0.4.25;,0.4.26,SUCCESS,POTENTIAL,YES,arbitrary-send-erc20,UNKNOWN,UNKNOWN,High,High,"[arbitrary-send-erc20] SafeERC20.safeTransferFrom(ERC20,address,address,uint256) (../smartbugs-wild/contracts/0x007323cbe37f29229de49136b51d3559b2a0c44f.sol#599-608) uses arbitrary from in transferFrom: require(bool)(_token.transferFrom(_from,_to,_value)) (../smartbugs-wild/contracts/0x007323cbe37f29229de49136b51d3559b2a0c44f.sol#607)",Candidate requiring BERT/LLM/manual contextual analysis; POTENTIAL is not a vulnerability determination.
0x0039019392b1ea93cd1277f75986fdf2407fe254.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0039019392b1ea93cd1277f75986fdf2407fe254.sol,pragma solidity ^ 0.4 .2;,0.4.26,SUCCESS,DEFINITE,YES,controlled-delegatecall,SWC-112,CWE-829,High,Medium,"[controlled-delegatecall] Test.checkForUpdates() (../smartbugs-wild/contracts/0x0039019392b1ea93cd1277f75986fdf2407fe254.sol#135-139) uses delegatecall to a input-controlled function id
	- ! currentVersion.delegatecall(msg.data) (../smartbugs-wild/contracts/0x0039019392b1ea93cd1277f75986fdf2407fe254.sol#137)",Strong static evidence of an Access Control-related weakness.
0x0046f822ef4e6d51a40dd87d34ab1d5f088291a4.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0046f822ef4e6d51a40dd87d34ab1d5f088291a4.sol,pragma solidity ^0.4.11;,0.4.26,FAILED,NONE,NO,,,,,,,No relevant Slither Access Control finding; this does not prove the contract is safe.
