filename,filepath,pragma,resolved_solc_version,analysis_status,detector_count,detectors,SWCs,CWEs,execution_time_seconds
0x004904cb627fe62d46486c41a3d79f3cdf6b0460.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004904cb627fe62d46486c41a3d79f3cdf6b0460.sol,pragma solidity ^0.4.4;,0.4.26,SUCCESS,22,constable-states;deprecated-standards;external-function;low-level-calls;naming-convention;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.752
0x004a0ea16df8e38e9107461dffe34d6a7f9caab1.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004a0ea16df8e38e9107461dffe34d6a7f9caab1.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,188,assembly;boolean-equal;constable-states;constant-function-asm;cyclomatic-complexity;divide-before-multiply;low-level-calls;naming-convention;reentrancy-benign;reentrancy-eth;reentrancy-events;reentrancy-unlimited-gas;solc-version;tautology;timestamp;too-many-digits;unindexed-event-address;uninitialized-local;uninitialized-state,SWC-107;UNKNOWN,CWE-841;UNKNOWN,7.291
0x004def62c71992615cf22786d0b7efb22850df4a.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004def62c71992615cf22786d0b7efb22850df4a.sol,pragma solidity 0.4.21;,0.4.21,SUCCESS,10,assembly;constant-function-asm;controlled-array-length;events-access;external-function;locked-ether;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,5.427
0x004e702aa7e3850f7da045f65da3218059b09381.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004e702aa7e3850f7da045f65da3218059b09381.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,11,controlled-array-length;naming-convention;solc-version;tautology,UNKNOWN,UNKNOWN,3.673
0x004fd00dc156ff5ce5da0a7082934d4122f8bd3f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x004fd00dc156ff5ce5da0a7082934d4122f8bd3f.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,7,events-access;external-function;missing-zero-check;naming-convention;solc-version,UNKNOWN,UNKNOWN,3.772
0x0051d363a60bd98d8a10927d10708e5ef853b306.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0051d363a60bd98d8a10927d10708e5ef853b306.sol,pragma solidity ^0.4.16;,0.4.26,SUCCESS,23,constable-states;deprecated-standards;external-function;low-level-calls;naming-convention;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.571
0x005275450e77bfa6bcbd04d85175d5d0f2dfae43.sol,C:\SmartContracts\smartbugs-wild\contracts\0x005275450e77bfa6bcbd04d85175d5d0f2dfae43.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,29,naming-convention;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.869
0x00539863217abd04b374a422c855e4c71ed1019a.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00539863217abd04b374a422c855e4c71ed1019a.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,3,missing-zero-check;solc-version,UNKNOWN,UNKNOWN,3.777
0x0054265eea0ad4dd25895fff4899fc42c41dc6f6.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0054265eea0ad4dd25895fff4899fc42c41dc6f6.sol,pragma solidity 0.4.24;,0.4.24,SUCCESS,69,assembly;constable-states;constant-function-asm;dead-code;events-access;events-maths;external-function;missing-zero-check;naming-convention;redundant-statements;reentrancy-benign;reentrancy-no-eth;reentrancy-unlimited-gas;solc-version;tautology;timestamp;too-many-digits;unindexed-event-address;uninitialized-local;unused-state,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.343
0x0056a6ac46c0540b9b39bfeecae0c9482f80f809.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0056a6ac46c0540b9b39bfeecae0c9482f80f809.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,20,constable-states;naming-convention;solc-version;too-many-digits;uninitialized-state,UNKNOWN,UNKNOWN,3.715
0x00571808479ced690a6948992e32b1f3e69df557.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00571808479ced690a6948992e32b1f3e69df557.sol,pragma solidity ^0.4.18;,0.4.26,SUCCESS,10,dead-code;erc20-interface;naming-convention;solc-version,UNKNOWN,UNKNOWN,3.709
0x0057826d01b84775dbc9b3a5ba1152b095988481.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0057826d01b84775dbc9b3a5ba1152b095988481.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,21,constable-states;divide-before-multiply;incorrect-equality;naming-convention;reentrancy-unlimited-gas;solc-version;timestamp;too-many-digits,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.795
0x005aae78c0de67642c728504dc9d264ecb9bb312.sol,C:\SmartContracts\smartbugs-wild\contracts\0x005aae78c0de67642c728504dc9d264ecb9bb312.sol,pragma solidity ^0.4.2;,0.4.26,SUCCESS,11,divide-before-multiply;naming-convention;solc-version,UNKNOWN,UNKNOWN,4.024
0x005c03671f914748598b1302a60cc586e9825a33.sol,C:\SmartContracts\smartbugs-wild\contracts\0x005c03671f914748598b1302a60cc586e9825a33.sol,pragma solidity ^0.5.6;,0.5.8,SUCCESS,10,dead-code;events-access;external-function;locked-ether;missing-zero-check;naming-convention;solc-version,UNKNOWN,UNKNOWN,3.631
0x005f977f633d1c23748294671b0e69f3512e6702.sol,C:\SmartContracts\smartbugs-wild\contracts\0x005f977f633d1c23748294671b0e69f3512e6702.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,8,external-function;locked-ether;missing-zero-check;naming-convention;solc-version,UNKNOWN,UNKNOWN,3.850
0x0061fe2189c995e585d3214e2302a2c600739972.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0061fe2189c995e585d3214e2302a2c600739972.sol,pragma solidity ^0.4.23;,0.4.26,SUCCESS,22,constable-states;deprecated-standards;external-function;low-level-calls;naming-convention;solc-version;too-many-digits,UNKNOWN,UNKNOWN,3.587
0x0064353c557afe927866f0f3b748bc271c385d71.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0064353c557afe927866f0f3b748bc271c385d71.sol,pragma solidity 0.4.19;,0.4.19,SUCCESS,34,assembly;constable-states;constant-function-asm;controlled-array-length;deprecated-standards;events-access;events-maths;external-function;missing-zero-check;naming-convention;reentrancy-unlimited-gas;solc-version;timestamp;too-many-digits,SWC-107;UNKNOWN,CWE-841;UNKNOWN,7.200
0x00674045bb7c17f0aa1cde34780d6c51af548728.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00674045bb7c17f0aa1cde34780d6c51af548728.sol,pragma solidity 0.4.14;,0.4.14,SUCCESS,28,cache-array-length;deprecated-standards;external-function;low-level-calls;naming-convention;reentrancy-events;shadowing-builtin;shadowing-local;solc-version;timestamp,SWC-107;UNKNOWN,CWE-841;UNKNOWN,5.350
0x00676065a7854163c6a4d5f474496514d03e31c4.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00676065a7854163c6a4d5f474496514d03e31c4.sol,pragma solidity ^0.4.25;,0.4.26,SUCCESS,62,arbitrary-send-eth;boolean-equal;constable-states;events-maths;incorrect-equality;missing-inheritance;missing-zero-check;naming-convention;reentrancy-benign;reentrancy-events;reentrancy-no-eth;reentrancy-unlimited-gas;solc-version;timestamp;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,4.315
0x00685230359bdb9e16704e1d3918b553e9a015e2.sol,C:\SmartContracts\smartbugs-wild\contracts\0x00685230359bdb9e16704e1d3918b553e9a015e2.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,156,assembly;boolean-equal;calls-loop;constable-states;constant-function-asm;controlled-array-length;dead-code;divide-before-multiply;events-access;external-function;missing-zero-check;naming-convention;reentrancy-benign;reentrancy-eth;reentrancy-events;reentrancy-no-eth;solc-version;uninitialized-local;unused-return;variable-scope,SWC-107;UNKNOWN,CWE-841;UNKNOWN,6.027
0x0069e491f2ed9e562a7c9c92ba40f73d946718e0.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0069e491f2ed9e562a7c9c92ba40f73d946718e0.sol,pragma solidity ^0.4.24;,0.4.26,SUCCESS,21,dead-code;erc20-interface;events-access;incorrect-modifier;missing-zero-check;naming-convention;reentrancy-benign;reentrancy-events;reentrancy-unlimited-gas;solc-version;timestamp;too-many-digits;unindexed-event-address;unused-return,SWC-107;UNKNOWN,CWE-841;UNKNOWN,3.640
0x006b4425ba57148466c0c54af1c484348a14a8a4.sol,C:\SmartContracts\smartbugs-wild\contracts\0x006b4425ba57148466c0c54af1c484348a14a8a4.sol,pragma solidity ^0.4.15;,0.4.26,SUCCESS,61,cache-array-length;costly-loop;divide-before-multiply;events-access;external-function;incorrect-equality;naming-convention;reentrancy-benign;reentrancy-no-eth;reentrancy-unlimited-gas;solc-version;timestamp;unchecked-transfer,SWC-107;UNKNOWN,CWE-841;UNKNOWN,5.320
0x006be10c718c78f5c4d4e767377ea6d9dfa8dd06.sol,C:\SmartContracts\smartbugs-wild\contracts\0x006be10c718c78f5c4d4e767377ea6d9dfa8dd06.sol,pragma solidity 0.5.8;,0.5.8,SUCCESS,15,assembly;locked-ether;naming-convention;shadowing-local;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,3.593
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45.sol,C:\SmartContracts\smartbugs-wild\contracts\0x006bea43baa3f7a6f765f14f10a1a1b08334ef45.sol,pragma solidity ^0.4.11;,0.4.26,SUCCESS,93,assert-state-change;constable-states;dead-code;deprecated-standards;incorrect-equality;naming-convention;redundant-statements;reentrancy-events;reentrancy-no-eth;shadowing-local;solc-version;timestamp;too-many-digits;unchecked-transfer;unindexed-event-address,SWC-107;UNKNOWN,CWE-841;UNKNOWN,5.448
0x006ff3494c04680cfbf39b0396054486f3f6ad32.sol,C:\SmartContracts\smartbugs-wild\contracts\0x006ff3494c04680cfbf39b0396054486f3f6ad32.sol,pragma solidity ^0.4.20;,0.4.26,SUCCESS,15,external-function;missing-zero-check;naming-convention;solc-version,UNKNOWN,UNKNOWN,3.528
0x007323cbe37f29229de49136b51d3559b2a0c44f.sol,C:\SmartContracts\smartbugs-wild\contracts\0x007323cbe37f29229de49136b51d3559b2a0c44f.sol,pragma solidity ^0.4.25;,0.4.26,SUCCESS,66,arbitrary-send-erc20;dead-code;events-access;missing-zero-check;naming-convention;solc-version;unindexed-event-address,UNKNOWN,UNKNOWN,4.585
0x0039019392b1ea93cd1277f75986fdf2407fe254.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0039019392b1ea93cd1277f75986fdf2407fe254.sol,pragma solidity ^ 0.4 .2;,0.4.26,SUCCESS,72,calls-loop;constable-states;controlled-delegatecall;deprecated-standards;erc20-interface;events-access;events-maths;external-function;low-level-calls;missing-zero-check;naming-convention;reentrancy-benign;reentrancy-events;reentrancy-unlimited-gas;solc-version;unchecked-send;unindexed-event-address,SWC-107;SWC-112;UNKNOWN,CWE-829;CWE-841;UNKNOWN,2.901
0x0046f822ef4e6d51a40dd87d34ab1d5f088291a4.sol,C:\SmartContracts\smartbugs-wild\contracts\0x0046f822ef4e6d51a40dd87d34ab1d5f088291a4.sol,pragma solidity ^0.4.11;,0.4.26,FAILED,0,,,,1.830
